year,SL50,SL95,FM,SPR,estimate_type,scenario,scenario_label,sensitivity_component,is_base,growth_id,growth_source,Linf,K,M,MK,MK_origin,maturity_id,maturity_source,maturity_sex,L50_input,L95_input,L50_origin,L95_origin,BinWidth
2005,28.76,34.18,7.29,0.3574812978845475,raw,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2006,29.93,35.22,12.9,0.35666918624988186,raw,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2007,26.78,29.73,9.74,0.3090097378197013,raw,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2008,27.85,30.05,8.11,0.40189643607753567,raw,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2009,26.22,28.26,2.27,0.4459831731485966,raw,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2010,27.93,31.64,3.47,0.45177857764170865,raw,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2011,29.54,32.87,8.67,0.45327351749957046,raw,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2012,27.78,30.82,7.63,0.37855212661785276,raw,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2013,29.43,32.14,5.46,0.5056546650776672,raw,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
2014,35.96,41.98,31.81,0.5275671093400013,raw,S_GROWTH,Growth - Delgado 2003-2007,Growth and M/K,FALSE,DELGADO_2003_2007,da Cruz Delgado et al. (2024),41.48,0.39,0.8303768846198194,2.129171499025178,derived with Pauly equation; T = 24.7 C,OWN_F,Current data 2004-2024,F,21.068058595591573,23.928403002115303,estimated,estimated,1
