ILHA;;DATA PARTIDA;DATA CHEGADA;MÊS;DIA;ANO;PORTO EMBARQUE;PORTO DESEMBARQUE;ZONA DE PESCA;ENGENHO;GRUPO;ESPÉCIE CAPTURADA;NOME CIENTÍFICO;QUANTIDADE CAPTURADA (Kg)
Santiago;Porto cais;2/6/2018;2/9/2018;2;9;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Demersais;Fambil;BALISTIDAE;10
Santiago;Mangrade;2/8/2018;2/9/2018;2;9;2018;Pedra Badejo;Cais de pesca da Praia;R. Grade;Rede de cerco;Pequenos pelágicos;Chicharro;Selar crumenophthalmus;800
Santiago;Santo António;2/7/2018;2/7/2018;2;7;2018;Pedra Badejo;Cais de pesca da Praia;Areia grande;Rede de cerco;Pequenos pelágicos;Dobrada;Spicara melanurus;150
Santiago;Santo António;2/7/2018;2/7/2018;2;7;2018;Pedra Badejo;Cais de pesca da Praia;Areia grande;Rede de cerco;Pequenos pelágicos;Chicharro;Selar crumenophthalmus;150
Santiago;Duda Marinho;2/7/2018;2/7/2018;2;7;2018;Pedra Badejo;Cais de pesca da Praia;Areia grande;Rede de cerco;Pequenos pelágicos;Chicharro;Selar crumenophthalmus;150
Santiago;Duda Marinho;2/7/2018;2/7/2018;2;7;2018;Pedra Badejo;Cais de pesca da Praia;Areia grande;Rede de cerco;Pequenos pelágicos;Dobrada;Spicara melanurus;200
Santiago;Santo António;2/8/2018;2/9/2018;2;9;2018;Pedra Badejo;Cais de pesca da Praia;Maio;Rede de cerco;Pequenos pelágicos;Arenque;Sardinella maderensis;3000
Santiago;Nossa Senhora da Luz;2/9/2018;2/10/2018;2;10;2018;Pedra Badejo;Cais de pesca da Praia;Maio;Rede de cerco;Pequenos pelágicos;Sicate/ Ponteiro/ Ferrão;Hemiramphus brasiliensis;2500
Santiago;Porto cais;2/10/2018;2/13/2018;2;13;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Tunídeos;Albacora;Thunnus albacares;265
Santiago;Porto cais;2/10/2018;2/13/2018;2;13;2018;Pedra Badejo;Cais de pesca da Praia;Tchadona;;Diversos;Maragal;;80
